gene_id	gene_name	SRR8996966	SRR8997009	SRR5889337	SRR2960319	SRR8996977	DRR546744	DRR546790	DRR546743
gene-A1BG|A1BG	A1BG	17.6323870834195	16.1811401326506	17.2743048831548	16.0750290761175	14.0443880294076	15.2429178082189	15.9091539168667	10.6772963730242
gene-A1CF|A1CF	A1CF	13.9370698931112	0	2.28803481749993	14.1494636025157	12.8060335185477	14.7071125095586	13.0626702314241	13.8507636609723
gene-A2ML1|A2ML1	A2ML1	3.72587866378686	0	0	3.65445336884031	2.77027842651101	4.77473895298479	0	0
gene-A3GALT2|A3GALT2	A3GALT2	0	0	3.50551968117008	2.6020691631754	3.13145683391111	0	3.85518931519399	5.09477202292688
gene-A4GALT|A4GALT	A4GALT	5.60399844644971	5.04517481776256	6.24961237602099	5.30008767298987	6.25576293818842	5.00127702579551	6.4687103510525	5.17055083390755
gene-AAAS|AAAS	AAAS	9.13036271561096	0	0	9.73153185207637	9.44827833265937	9.66603050981819	8.83896525465125	9.0294209837133
gene-AACS|AACS	AACS	7.14300177943544	0	0	6.37277103537084	8.13457779931808	9.03721447849195	8.55447298311159	10.2495070427898
gene-AADAC|AADAC	AADAC	10.8666861984396	0	0	12.296914926129	8.92622747829569	10.234697113342	10.2844275275112	12.5029258293521
gene-AADACL2|AADACL2	AADACL2	11.1284306871469	0	0	3.95328335474189	11.5751154319905	0	6.62456555765117	7.19565529965098
gene-AADAT|AADAT	AADAT	14.5976898113508	5.72031027326119	6.41195582889174	13.354595492135	13.9897932820511	13.2191697655858	13.2343423126163	14.608488024094
gene-AAGAB|AAGAB	AAGAB	10.6997147216809	0	3.13221617834527	10.4248700759398	10.8143219196594	10.1544890359956	10.1483376727241	10.9715061228613
gene-AAK1|AAK1	AAK1	8.42406258472132	8.87330067804423	8.07140535182164	9.38429476313506	8.80447442149368	9.25066656001979	8.83896525465125	9.2766446015145
gene-AAMDC|AAMDC	AAMDC	9.2662754300664	8.67023333211048	0	8.74789004446876	9.99345462312573	8.97185291489027	8.77014738187678	8.44837764955332
gene-AAMP|AAMP	AAMP	11.5393600703009	0	0	11.9137457860756	11.1334658691568	11.5596188859773	10.3454551537497	11.393299832098
gene-AANAT|AANAT	AANAT	0	0	0	0	2.82774843272177	0	0	0
gene-AAR2|AAR2	AAR2	9.1170436952874	0	0	8.82366679466699	8.652730427245	9.96594654942759	8.94792773170655	8.54408088576393
